ResponseId,LanguageHaveWorkedWith,DevType,skill_list
3,C#;C++;HTML/CSS;JavaScript;Python,"Data scientist or machine learning specialist;Developer, front-end;Engineer, data;Engineer, site reliability","['C#', 'C++', 'HTML/CSS', 'JavaScript', 'Python']"
4,C#;JavaScript;SQL;TypeScript,"Developer, full-stack","['C#', 'JavaScript', 'SQL', 'TypeScript']"
5,C#;HTML/CSS;JavaScript;SQL;Swift;TypeScript,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, QA or test","['C#', 'HTML/CSS', 'JavaScript', 'SQL', 'Swift', 'TypeScript']"
8,C;C++;HTML/CSS;Java;JavaScript;SQL,"Developer, full-stack;Student","['C', 'C++', 'HTML/CSS', 'Java', 'JavaScript', 'SQL']"
10,Delphi;Java;Swift,"Developer, desktop or enterprise applications;Developer, mobile;Educator","['Delphi', 'Java', 'Swift']"
11,Bash/Shell;C#;HTML/CSS;JavaScript;PowerShell;SQL,"Developer, full-stack;Developer, back-end","['Bash/Shell', 'C#', 'HTML/CSS', 'JavaScript', 'PowerShell', 'SQL']"
12,C#;HTML/CSS;JavaScript;PowerShell;Python;Rust;SQL,Engineering manager,"['C#', 'HTML/CSS', 'JavaScript', 'PowerShell', 'Python', 'Rust', 'SQL']"
13,C;HTML/CSS;Rust;SQL;Swift;TypeScript,"Developer, full-stack","['C', 'HTML/CSS', 'Rust', 'SQL', 'Swift', 'TypeScript']"
14,Elixir;Erlang;HTML/CSS;JavaScript;Ruby;SQL;TypeScript,"Developer, front-end;Developer, full-stack;Developer, back-end;Database administrator","['Elixir', 'Erlang', 'HTML/CSS', 'JavaScript', 'Ruby', 'SQL', 'TypeScript']"
15,HTML/CSS;JavaScript;PHP;Python;R;Ruby;Scala,"Developer, full-stack;Academic researcher;DevOps specialist","['HTML/CSS', 'JavaScript', 'PHP', 'Python', 'R', 'Ruby', 'Scala']"
16,Bash/Shell;HTML/CSS;JavaScript;SQL;TypeScript,"Developer, full-stack","['Bash/Shell', 'HTML/CSS', 'JavaScript', 'SQL', 'TypeScript']"
