ResponseId,LanguageHaveWorkedWith,DevType,skill_list,community_id
3,C#;C++;HTML/CSS;JavaScript;Python,"Data scientist or machine learning specialist;Developer, front-end;Engineer, data;Engineer, site reliability","['C#', 'C++', 'HTML/CSS', 'JavaScript', 'Python']",64
4,C#;JavaScript;SQL;TypeScript,"Developer, full-stack","['C#', 'JavaScript', 'SQL', 'TypeScript']",64
5,C#;HTML/CSS;JavaScript;SQL;Swift;TypeScript,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, QA or test","['C#', 'HTML/CSS', 'JavaScript', 'SQL', 'Swift', 'TypeScript']",64
8,C;C++;HTML/CSS;Java;JavaScript;SQL,"Developer, full-stack;Student","['C', 'C++', 'HTML/CSS', 'Java', 'JavaScript', 'SQL']",35
10,Delphi;Java;Swift,"Developer, desktop or enterprise applications;Developer, mobile;Educator","['Delphi', 'Java', 'Swift']",4
11,Bash/Shell;C#;HTML/CSS;JavaScript;PowerShell;SQL,"Developer, full-stack;Developer, back-end","['Bash/Shell', 'C#', 'HTML/CSS', 'JavaScript', 'PowerShell', 'SQL']",64
12,C#;HTML/CSS;JavaScript;PowerShell;Python;Rust;SQL,Engineering manager,"['C#', 'HTML/CSS', 'JavaScript', 'PowerShell', 'Python', 'Rust', 'SQL']",64
13,C;HTML/CSS;Rust;SQL;Swift;TypeScript,"Developer, full-stack","['C', 'HTML/CSS', 'Rust', 'SQL', 'Swift', 'TypeScript']",35
14,Elixir;Erlang;HTML/CSS;JavaScript;Ruby;SQL;TypeScript,"Developer, front-end;Developer, full-stack;Developer, back-end;Database administrator","['Elixir', 'Erlang', 'HTML/CSS', 'JavaScript', 'Ruby', 'SQL', 'TypeScript']",113
15,HTML/CSS;JavaScript;PHP;Python;R;Ruby;Scala,"Developer, full-stack;Academic researcher;DevOps specialist","['HTML/CSS', 'JavaScript', 'PHP', 'Python', 'R', 'Ruby', 'Scala']",113
16,Bash/Shell;HTML/CSS;JavaScript;SQL;TypeScript,"Developer, full-stack","['Bash/Shell', 'HTML/CSS', 'JavaScript', 'SQL', 'TypeScript']",113
17,C#;Java;PHP;Python;R,"Developer, full-stack","['C#', 'Java', 'PHP', 'Python', 'R']",102
18,Python;SQL,"Engineer, data","['Python', 'SQL']",12
19,C#;PowerShell;SQL,"Developer, back-end;Developer, desktop or enterprise applications","['C#', 'PowerShell', 'SQL']",64
21,Bash/Shell;C#;HTML/CSS;Java;JavaScript;PowerShell;SQL;TypeScript,Student,"['Bash/Shell', 'C#', 'HTML/CSS', 'Java', 'JavaScript', 'PowerShell', 'SQL', 'TypeScript']",64
22,Python;SQL;TypeScript,"Developer, full-stack","['Python', 'SQL', 'TypeScript']",102
23,C#;SQL;TypeScript,"Developer, back-end","['C#', 'SQL', 'TypeScript']",64
24,VBA,Other (please specify):,['VBA'],17
25,C#;C++;JavaScript;PHP;TypeScript,"Developer, full-stack","['C#', 'C++', 'JavaScript', 'PHP', 'TypeScript']",64
26,Dart;Go;Java;Kotlin;Swift;TypeScript,"Developer, back-end;Developer, mobile","['Dart', 'Go', 'Java', 'Kotlin', 'Swift', 'TypeScript']",102
27,Bash/Shell;Groovy;HTML/CSS;Java;JavaScript;SQL,"Developer, full-stack;Developer, back-end","['Bash/Shell', 'Groovy', 'HTML/CSS', 'Java', 'JavaScript', 'SQL']",102
29,C;C++,"Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, game or graphics","['C', 'C++']",21
30,C#;JavaScript;PowerShell;SQL,"Developer, full-stack","['C#', 'JavaScript', 'PowerShell', 'SQL']",64
32,C#;HTML/CSS;JavaScript;SQL,"Developer, full-stack","['C#', 'HTML/CSS', 'JavaScript', 'SQL']",64
33,C++;Python,Student,"['C++', 'Python']",24
34,C++;Go;Python,Student;Academic researcher,"['C++', 'Go', 'Python']",35
35,HTML/CSS;JavaScript;Python;SQL;TypeScript,"Developer, back-end","['HTML/CSS', 'JavaScript', 'Python', 'SQL', 'TypeScript']",113
37,C#;C++;HTML/CSS;Java;JavaScript;MATLAB;Python;SQL,"Developer, back-end;Project manager","['C#', 'C++', 'HTML/CSS', 'Java', 'JavaScript', 'MATLAB', 'Python', 'SQL']",64
38,HTML/CSS;JavaScript;PHP;Python;Ruby,"Developer, front-end;Developer, full-stack;Developer, back-end;Engineering manager","['HTML/CSS', 'JavaScript', 'PHP', 'Python', 'Ruby']",113
40,Bash/Shell;Groovy;HTML/CSS;Java;JavaScript;Perl;PHP;Scala;SQL,"Developer, back-end;Database administrator;DevOps specialist;Cloud infrastructure engineer;Data or business analyst","['Bash/Shell', 'Groovy', 'HTML/CSS', 'Java', 'JavaScript', 'Perl', 'PHP', 'Scala', 'SQL']",113
41,C#;C++;HTML/CSS;JavaScript;SQL;TypeScript;VBA,"Developer, front-end;Engineer, data;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, QA or test;Developer, mobile;Database administrator;Developer, embedded applications or devices;Cloud infrastructure engineer;Data or business analyst;Designer","['C#', 'C++', 'HTML/CSS', 'JavaScript', 'SQL', 'TypeScript', 'VBA']",64
42,Bash/Shell;HTML/CSS;Python;SQL,"Data scientist or machine learning specialist;Engineer, data;Developer, back-end","['Bash/Shell', 'HTML/CSS', 'Python', 'SQL']",102
43,C#;HTML/CSS;JavaScript;PHP;Ruby;SQL,"Developer, front-end;Developer, full-stack;Developer, back-end;Database administrator","['C#', 'HTML/CSS', 'JavaScript', 'PHP', 'Ruby', 'SQL']",64
46,JavaScript;TypeScript,"Developer, front-end","['JavaScript', 'TypeScript']",33
48,Java;JavaScript;PHP;SQL;TypeScript,"Developer, full-stack;Developer, back-end","['Java', 'JavaScript', 'PHP', 'SQL', 'TypeScript']",113
49,Haskell;Java;Rust,"Developer, back-end;Developer, desktop or enterprise applications","['Haskell', 'Java', 'Rust']",35
50,C#;HTML/CSS;JavaScript;SQL;TypeScript,"Developer, front-end;Developer, full-stack;Developer, back-end;DevOps specialist;Cloud infrastructure engineer","['C#', 'HTML/CSS', 'JavaScript', 'SQL', 'TypeScript']",64
51,Bash/Shell;Julia;Python,Data scientist or machine learning specialist;Student;Academic researcher;Scientist,"['Bash/Shell', 'Julia', 'Python']",35
52,Bash/Shell;HTML/CSS;Java;JavaScript;Python;Rust;SQL,"Developer, back-end","['Bash/Shell', 'HTML/CSS', 'Java', 'JavaScript', 'Python', 'Rust', 'SQL']",102
53,Bash/Shell;Go;Java;Python,"Engineer, site reliability;Developer, back-end;Student;Cloud infrastructure engineer","['Bash/Shell', 'Go', 'Java', 'Python']",102
54,C#;HTML/CSS;JavaScript;SQL;TypeScript,"Developer, front-end;Developer, full-stack;Developer, desktop or enterprise applications","['C#', 'HTML/CSS', 'JavaScript', 'SQL', 'TypeScript']",64
55,Bash/Shell;C#;HTML/CSS;Java;JavaScript;LISP;PowerShell;SQL,"Developer, back-end;Developer, desktop or enterprise applications;DevOps specialist;Cloud infrastructure engineer","['Bash/Shell', 'C#', 'HTML/CSS', 'Java', 'JavaScript', 'LISP', 'PowerShell', 'SQL']",64
56,C#;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,"Developer, full-stack;Developer, back-end","['C#', 'HTML/CSS', 'Java', 'JavaScript', 'Python', 'SQL', 'TypeScript']",64
57,C++,"Developer, back-end;Developer, embedded applications or devices",['C++'],43
58,Bash/Shell;C#;HTML/CSS;PowerShell;SQL;TypeScript,"Developer, front-end;Developer, full-stack;Developer, back-end","['Bash/Shell', 'C#', 'HTML/CSS', 'PowerShell', 'SQL', 'TypeScript']",64
59,Dart;HTML/CSS;Java;Kotlin;Python,"Developer, mobile","['Dart', 'HTML/CSS', 'Java', 'Kotlin', 'Python']",102
60,Assembly;Bash/Shell;C;HTML/CSS;JavaScript;PHP;Python;SQL,"Student;Developer, embedded applications or devices","['Assembly', 'Bash/Shell', 'C', 'HTML/CSS', 'JavaScript', 'PHP', 'Python', 'SQL']",113
61,Bash/Shell;C#;C++;HTML/CSS;Java;JavaScript;Kotlin;Python;Rust;TypeScript,"Developer, front-end;Developer, full-stack;Developer, back-end;Engineering manager;Database administrator;Developer, game or graphics;Project manager;Cloud infrastructure engineer;Designer;Product manager;Senior Executive (C-Suite, VP, etc.);System administrator","['Bash/Shell', 'C#', 'C++', 'HTML/CSS', 'Java', 'JavaScript', 'Kotlin', 'Python', 'Rust', 'TypeScript']",35
62,Bash/Shell;HTML/CSS;Python,"Data scientist or machine learning specialist;Developer, back-end;Developer, desktop or enterprise applications;Student;Database administrator;Academic researcher;Data or business analyst;Designer;System administrator","['Bash/Shell', 'HTML/CSS', 'Python']",102
63,Groovy;Java;Kotlin,"Developer, back-end;Designer","['Groovy', 'Java', 'Kotlin']",102
64,Bash/Shell;C;Go;HTML/CSS;Java;JavaScript;Python;Swift;TypeScript,"Developer, front-end;Developer, full-stack;Developer, embedded applications or devices;Designer","['Bash/Shell', 'C', 'Go', 'HTML/CSS', 'Java', 'JavaScript', 'Python', 'Swift', 'TypeScript']",102
66,C#,"Developer, back-end;DevOps specialist",['C#'],51
67,C;C++;Delphi;HTML/CSS;Java;JavaScript,"Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications","['C', 'C++', 'Delphi', 'HTML/CSS', 'Java', 'JavaScript']",35
68,C#;HTML/CSS;JavaScript;PHP;SQL,"Developer, full-stack;Developer, back-end;Developer, QA or test;DevOps specialist","['C#', 'HTML/CSS', 'JavaScript', 'PHP', 'SQL']",64
69,C++;HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL;TypeScript,"Developer, back-end;Blockchain","['C++', 'HTML/CSS', 'JavaScript', 'PHP', 'PowerShell', 'Python', 'SQL', 'TypeScript']",113
70,Bash/Shell;HTML/CSS;Java;JavaScript;SQL;TypeScript,"Developer, back-end;Cloud infrastructure engineer;Designer","['Bash/Shell', 'HTML/CSS', 'Java', 'JavaScript', 'SQL', 'TypeScript']",113
71,Java;Kotlin;PHP,"Developer, mobile","['Java', 'Kotlin', 'PHP']",102
72,Bash/Shell;C;F#;Groovy;JavaScript;Python,"Student;DevOps specialist;Developer, embedded applications or devices","['Bash/Shell', 'C', 'F#', 'Groovy', 'JavaScript', 'Python']",35
73,Java;SQL,Other (please specify):,"['Java', 'SQL']",58
74,Bash/Shell;HTML/CSS;JavaScript;PowerShell;Python;SQL,"Developer, full-stack;Developer, QA or test;DevOps specialist","['Bash/Shell', 'HTML/CSS', 'JavaScript', 'PowerShell', 'Python', 'SQL']",102
75,C#;HTML/CSS;SQL;TypeScript,"Developer, full-stack","['C#', 'HTML/CSS', 'SQL', 'TypeScript']",64
76,Groovy;Java;Ruby,"Developer, back-end;Student","['Groovy', 'Java', 'Ruby']",102
77,C#;JavaScript;Python;SQL,"Developer, back-end;Marketing or sales professional","['C#', 'JavaScript', 'Python', 'SQL']",64
79,HTML/CSS;JavaScript;PHP,"Developer, full-stack","['HTML/CSS', 'JavaScript', 'PHP']",113
80,Bash/Shell;Clojure;Java;JavaScript;SQL,"Developer, back-end;Engineering manager;Database administrator;DevOps specialist;Cloud infrastructure engineer","['Bash/Shell', 'Clojure', 'Java', 'JavaScript', 'SQL']",102
81,Delphi,"Developer, back-end;Developer, desktop or enterprise applications;Developer, mobile;Developer, embedded applications or devices;Developer, game or graphics",['Delphi'],65
82,Bash/Shell;HTML/CSS;JavaScript,Marketing or sales professional,"['Bash/Shell', 'HTML/CSS', 'JavaScript']",113
84,HTML/CSS;JavaScript;Ruby;SQL;TypeScript,"Developer, full-stack;Engineering manager","['HTML/CSS', 'JavaScript', 'Ruby', 'SQL', 'TypeScript']",113
85,HTML/CSS;JavaScript;PowerShell;TypeScript,"Developer, full-stack","['HTML/CSS', 'JavaScript', 'PowerShell', 'TypeScript']",64
86,Bash/Shell;Java;Python;SQL,"Data scientist or machine learning specialist;Engineer, data;Developer, full-stack;Developer, back-end","['Bash/Shell', 'Java', 'Python', 'SQL']",102
88,Bash/Shell;C#;Groovy;HTML/CSS;JavaScript,"Developer, back-end;Engineering manager","['Bash/Shell', 'C#', 'Groovy', 'HTML/CSS', 'JavaScript']",64
89,HTML/CSS;TypeScript,"Developer, full-stack","['HTML/CSS', 'TypeScript']",71
90,C#;C++;PowerShell;Python,"Developer, desktop or enterprise applications;Project manager","['C#', 'C++', 'PowerShell', 'Python']",35
91,Python;R;SQL,"Engineer, data","['Python', 'R', 'SQL']",113
92,C#;C++;Delphi;JavaScript,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Cloud infrastructure engineer","['C#', 'C++', 'Delphi', 'JavaScript']",35
93,Bash/Shell;C++;Go;HTML/CSS;Python;R,"Developer, back-end;Academic researcher;Scientist","['Bash/Shell', 'C++', 'Go', 'HTML/CSS', 'Python', 'R']",35
94,Bash/Shell;HTML/CSS;JavaScript;PHP;TypeScript,"Developer, front-end","['Bash/Shell', 'HTML/CSS', 'JavaScript', 'PHP', 'TypeScript']",113
95,Python;R,Data scientist or machine learning specialist;Scientist,"['Python', 'R']",77
96,Bash/Shell;C;C++;Python,"Developer, embedded applications or devices;Security professional","['Bash/Shell', 'C', 'C++', 'Python']",35
97,Go;HTML/CSS;JavaScript;Ruby;Rust;SQL,"Developer, full-stack","['Go', 'HTML/CSS', 'JavaScript', 'Ruby', 'Rust', 'SQL']",113
98,C#;HTML/CSS;Java;JavaScript;Python;SQL;VBA,"Developer, front-end;Engineer, data;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;DevOps specialist;Data or business analyst","['C#', 'HTML/CSS', 'Java', 'JavaScript', 'Python', 'SQL', 'VBA']",64
100,C;C++;HTML/CSS;Java;JavaScript;MATLAB;Python;SQL,"Developer, full-stack","['C', 'C++', 'HTML/CSS', 'Java', 'JavaScript', 'MATLAB', 'Python', 'SQL']",35
102,HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript,"Developer, full-stack;Developer, back-end","['HTML/CSS', 'Java', 'JavaScript', 'PHP', 'SQL', 'TypeScript']",113
103,C#;Python;SQL,"Developer, back-end;Student;DevOps specialist;Project manager;System administrator","['C#', 'Python', 'SQL']",64
104,JavaScript;SQL,"Developer, full-stack","['JavaScript', 'SQL']",84
105,C#;JavaScript;SQL,"Developer, back-end","['C#', 'JavaScript', 'SQL']",64
106,Go;HTML/CSS;JavaScript;SQL;TypeScript,"Developer, full-stack","['Go', 'HTML/CSS', 'JavaScript', 'SQL', 'TypeScript']",113
108,Python;SQL;VBA,"Data scientist or machine learning specialist;Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, QA or test;Database administrator;Developer, embedded applications or devices","['Python', 'SQL', 'VBA']",102
109,C#;HTML/CSS;JavaScript;SQL,"Developer, full-stack","['C#', 'HTML/CSS', 'JavaScript', 'SQL']",64
110,C#;JavaScript;Kotlin;PowerShell;Rust;TypeScript,"Developer, back-end","['C#', 'JavaScript', 'Kotlin', 'PowerShell', 'Rust', 'TypeScript']",64
111,Go,"Developer, back-end;Student",['Go'],90
112,C#;HTML/CSS;JavaScript;PowerShell;SQL,"Developer, front-end;Developer, full-stack;Developer, back-end","['C#', 'HTML/CSS', 'JavaScript', 'PowerShell', 'SQL']",64
